"Indicators","values"
"Intensity (I-1)",3.46
"Proportion of area in fished cells (I-2)",0.95
"Proportion of area fished per year (I-3)",0.64
"Smallest  prop. of area with 90% of fishing effort (I-4)",0.38
"Proportion of area in unfished cells (I-5)",0.05
"Average PD impact",0.16
"Average L1 impact",0.69
"Proportion of area with PD impact < 0.2",0.71
"Proportion of area with L1 impact < 0.2",0.2
