"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Landings (1000 tonnes)/PD impact",0.237,0.021,0.082,0.078,0.14,0.098,0.071,0.138,0.076,0.607
"Value (10^6 euro)/PD impact",0.645,0.147,0.197,0.203,0.264,0.27,0.161,0.264,0.306,0.7
"Landings (1000 tonnes)/L1 impact",0.054,0.003,0.007,0.012,0.005,0.004,0.008,0.025,0.013,0.232
"Value (10^6 euro)/L1 impact",0.147,0.02,0.016,0.031,0.01,0.012,0.018,0.048,0.052,0.268
