"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.17,0.79,4.65,100,100
5,0.15,0.61,38.21,91.04,90.87
10,0.14,0.49,50.72,85.53,84.92
15,0.13,0.41,58.89,79.43,78.55
20,0.12,0.35,65.88,73.44,73.03
30,0.1,0.24,75.82,63.16,63.57
40,0.08,0.18,82.32,52.5,53.36
60,0.05,0.09,90.72,31.28,28.54
80,0.03,0.04,96.14,14.83,13.31
99,0,0,100,1.49,1.27
