"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)",7.59,1.77,84.34,29.05,4.9,20.84,78.05,0.01,13.09,0.01
"Landings (1000 tonnes)",29.27,0.09,14.07,12.24,1.71,1.65,5.59,0,3.68,0.2
"Value (10^6 euro)",78.28,0.7,33.37,29.56,3.05,4.2,12.43,0.03,13.76,0.16
"Landings (1000 tonnes)/Area swept (1000 km2)",3.86,0.05,0.17,0.42,0.35,0.08,0.07,0.32,0.28,36.68
"Value (10^6 euro)/Area swept (1000 km2)",10.32,0.4,0.4,1.02,0.62,0.2,0.16,2.24,1.05,28.9
