"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.25,0.79,0.95,100,100
5,0.23,0.58,42.27,93.87,94.09
10,0.21,0.48,52.09,87.68,87.81
15,0.19,0.41,59.57,80.96,81.03
20,0.18,0.35,65.24,74.78,74.57
30,0.14,0.26,74.11,58.31,58.25
40,0.11,0.19,81.01,47.33,47.17
60,0.06,0.09,90.82,29.11,29.05
80,0.02,0.03,97.24,9.69,9.03
99,0,0,99.93,0.64,0.63
