"Indicators","values"
"1. Intensity",1.6004895201788
"2. Proportion of cells fished",0.96165944061889
"3. Proportion of area fished",0.708122041620986
"4. Aggregation of fishing pressure",0.553345235059084
"5. Persistently unfished areas",0.0383405593811103
"6. Average impact",0.130634706635111
"7. Proportion of area with impact < 0.2",0.782708492731446
