"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area fished (1000 km2)",0.25,11.84,86.55,0.91,3.65,10.3,40.84,55.02,92.58,0.02
"Landings (1000 tonnes)",12.91,2.34,194.77,0.43,49.54,1,3.72,26.08,56.81,1.6
"Value (10^6 euro)",19.61,8.85,53.5,1.18,10.38,2.31,6.45,94.5,213.45,2.31
"Landings (1000 tonnes)/impact ratio",4.08,0.01,1.04,0.11,13.08,0.12,0.09,0.14,0.07,20.38
"Value (10^6 euro)/impact ratio",6.2,0.03,0.29,0.29,2.74,0.28,0.15,0.49,0.26,29.46
"Landings (1000 tonnes)/Area fished (1000 km2) ratio",52.5,0.2,2.25,0.47,13.55,0.1,0.09,0.47,0.61,106.17
"Value (10^6 euro)/Area fished (1000 km2) ratio",79.79,0.75,0.62,1.3,2.84,0.22,0.16,1.72,2.31,153.46
