"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,48.57,100,100
5,NA,NA,73.82,95.81,95.16
10,NA,NA,78.03,91.22,89.75
15,NA,NA,81,86.88,83.85
20,NA,NA,83.28,82.33,78.31
30,NA,NA,87.03,73.16,65.75
40,NA,NA,90.11,63.89,53.18
60,NA,NA,94.64,43.72,22.76
80,NA,NA,97.87,20.63,8.36
99,NA,NA,99.92,1.11,0.42
