"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Upper bathyal sediment",61.59,"   0.0","   0.0","   0.0","   0.0"," 0.0","<0.1","   0.3"," 2.1","  11.6","35.9"
"Offshore circalittoral mud",8.81,"   0.0","<0.1","   0.7","   4.5","11.0","  19.4","  31.3","44.7","  59.6","78.1"
"Offshore circalittoral sand",2.55,"   0.5","   3.5","  11.3","  20.5","29.4","  37.5","  50.5","61.3","  73.8","86.3"
"Circalittoral sand",3.48,"   0.1","   0.6","   4.1","  10.0","19.1","  27.2","  35.7","49.8","  63.3","80.8"
"Offshore circalittoral mixed sediment",1.1,"<0.1","<0.1","   1.0","   2.3"," 7.0","  14.7","  24.6","39.8","  57.0","75.8"
"Circalittoral mixed sediment",0.58,"   0.0","<0.1","   1.3","   4.3"," 8.0","  17.4","  32.2","42.5","  54.4","77.6"
"Offshore circalittoral rock and biogenic reef",4.31,"   0.0","   0.0","   0.0","   0.0"," 0.0","   0.0","   0.0"," 0.1","   6.8","34.8"
"Upper bathyal rock and biogenic reef",2.3,"   0.0","   0.0","   0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0","   0.0","21.0"
"Infralittoral sand",0.27,"   0.0","   0.0","<0.1","   1.1"," 5.6","  14.2","  24.3","43.8","  58.8","79.6"
"Unknown",5.85,"   0.0","   0.0","   0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0","<0.1"," 8.0"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",2.36,"   0.0","   0.0","   0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0","   0.0"," 4.0"
"Circalittoral mud",0.37,"   0.0","   0.0","   0.0","   0.0"," 0.0","   0.0","<0.1"," 0.8","   4.2","14.6"
"Offshore circalittoral coarse sediment",0.1,"   0.0","   0.0","   0.0","   0.0"," 0.2","   1.0","   6.3","28.6","  38.8","66.4"
"Circalittoral coarse sediment",0.16,"   0.0","   0.0","   0.0","<0.1"," 0.5","   9.8","  21.7","32.3","  39.3","72.8"
"Circalittoral rock and biogenic reef",1.3,"   0.0","   0.0","   0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0","   0.3"," 6.2"
"Infralittoral rock and biogenic reef",0.96,"   0.0","   0.0","   0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0","<0.1"," 3.5"
"Infralittoral mud",0.2,"   0.0","   0.0","   0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0","   1.7","15.0"
"Infralittoral mixed sediment",0.03,"   0.0","   0.0","   0.0","   0.0"," 0.0","   0.0","   1.2"," 2.4","   5.0","20.8"
"Infralittoral coarse sediment",0.05,"   0.0","   0.0","   0.0","   0.0"," 0.0","   0.0","   0.0"," 0.0","<0.1"," 6.5"
"Lower bathyal rock and biogenic reef",0,"   NaN","   NaN","   NaN","   NaN"," NaN","   NaN","   NaN"," NaN","   NaN"," NaN"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0,"   NaN","   NaN","   NaN","   NaN"," NaN","   NaN","   NaN"," NaN","   NaN"," NaN"
