"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,2.59,100,100
5,NA,NA,15.26,93.33,90.76
10,NA,NA,23.81,85.82,80.21
15,NA,NA,31.02,78.82,67.79
20,NA,NA,37.82,72.62,60.86
30,NA,NA,50.41,63.14,52.6
40,NA,NA,61.07,49.54,28.99
60,NA,NA,77.42,31.11,16.55
80,NA,NA,90.39,14.45,8.13
99,NA,NA,100,1.06,0.58
