"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,9.62,100,100
5,NA,NA,31.8,94.63,92.81
10,NA,NA,39.6,89.37,85.49
15,NA,NA,46.39,84.14,79.84
20,NA,NA,51.4,78.79,75.09
30,NA,NA,60.89,67.93,65.54
40,NA,NA,69,56.87,55.2
60,NA,NA,82.32,36.71,34.13
80,NA,NA,92.72,16.72,17.77
99,NA,NA,99.82,1.11,1.38
