"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,8.65,100,100
5,NA,NA,29,92.72,89.93
10,NA,NA,35.68,87.76,84.49
15,NA,NA,41.26,83.1,79.22
20,NA,NA,47.5,78.57,74.59
30,NA,NA,56.28,69.18,65.04
40,NA,NA,64.98,59.64,55.04
60,NA,NA,79.99,40.29,36.94
80,NA,NA,92.51,21.41,19.1
99,NA,NA,100,0.48,0.73
