"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,NA,NA,0,100,100
5,NA,NA,20.01,95.28,85.29
10,NA,NA,33.53,90.74,69.55
15,NA,NA,44.01,86.58,56.1
20,NA,NA,52.16,82.75,43.47
30,NA,NA,65.14,74.4,23.2
40,NA,NA,74.73,65.43,12.23
60,NA,NA,88.48,46.77,0.82
80,NA,NA,96.36,26.19,0.13
99,NA,NA,99.89,1.66,0.01
