"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)",1.16,44.66,378.51,2.87,0.04,5.33,44.93,0,15.9,0
"Landings (1000 tonnes)",1.04,5.74,9255.3,0.82,0.18,0.34,3.63,0,6.55,0
"Value (10^6 euro)",3.74,24.48,114.76,2.35,0.25,0.7,6.4,0,22.66,0
"Landings (1000 tonnes)/Area swept (1000 km2)",0.89,0.13,24.45,0.29,4.63,0.06,0.08,NA,0.41,NA
"Value (10^6 euro)/Area swept (1000 km2)",3.22,0.55,0.3,0.82,6.49,0.13,0.14,NA,1.42,NA
