"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Offshore circalittoral coarse sediment",69.22,5098,33.95,108.21,211.93,3.06,0.99,0.83,0.44
"Offshore circalittoral sand",78.59,5889,20.34,68.23,169.61,2.16,1,0.85,0.53
"Offshore circalittoral mud",31.95,2453,13.06,46.35,103.72,3.25,1,0.93,0.49
"Unknown",7.46,1268,1.09,3.7,10.78,1.45,0.91,0.74,0.24
"Offshore circalittoral mixed sediment",1.44,324,0.94,2.84,6.08,4.22,0.98,0.86,0.3
"Circalittoral coarse sediment",7.87,1224,2.16,5.43,4.2,0.53,0.79,0.21,0.11
"Upper bathyal sediment",1.11,152,0.34,1.19,3.47,3.12,1,0.99,0.42
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",1.29,131,0.28,1.01,2.74,2.13,1,0.86,0.56
"Circalittoral sand",3.93,880,0.64,1.76,2.65,0.68,0.71,0.27,0.12
"Offshore circalittoral rock and biogenic reef",2.33,1024,0.29,1.21,1.55,0.67,0.94,0.39,0.32
"Infralittoral sand",1.01,474,0.65,1.58,1.19,1.18,0.58,0.37,0.05
"Circalittoral rock and biogenic reef",3.76,1166,0.2,0.56,0.86,0.23,0.68,0.13,0.17
"Infralittoral coarse sediment",0.56,409,0.81,1.62,0.57,1.01,0.82,0.33,0.06
"Circalittoral mud",0.74,326,0.05,0.19,0.49,0.66,0.73,0.32,0.1
"Circalittoral mixed sediment",0.17,87,0.04,0.06,0.11,0.69,0.52,0.32,0.06
"Infralittoral rock and biogenic reef",0.96,680,0.16,0.29,0.11,0.11,0.63,0.08,0.11
"Infralittoral mud",0.19,165,0,0.01,0.01,0.05,0.28,0.04,0.05
"Upper bathyal rock and biogenic reef",0.01,10,0,0,0.01,1.15,1,0.7,0.3
"Infralittoral mixed sediment",0.09,49,0,0,0,0.01,0.13,0.01,0.06
