"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,NA,NA,35.57,NA,100
5,NA,NA,76.26,NA,88.57
10,NA,NA,79.78,NA,55.13
15,NA,NA,81.89,NA,50.32
20,NA,NA,84.28,NA,44.33
30,NA,NA,87.28,NA,39.6
40,NA,NA,90.36,NA,9.3
60,NA,NA,94.75,NA,7.07
80,NA,NA,97.84,NA,4.11
99,NA,NA,100,NA,1.57
