"Indicators","values"
"Intensity (I-1)",2.62
"Proportion of cells fished (I-2)",0.69
"Proportion of area fished (I-3)",0.5
"Aggregation of fishing pressure (I-4)",0.35
"Persistently unfished areas (I-5)",0.31
"Average PD impact",NA
"Average L1 impact",NA
"Proportion of area with PD impact < 0.2",NA
"Proportion of area with L1 impact < 0.2",NA
