"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,13.24,NA,100
5,NA,NA,31.66,NA,95.54
10,NA,NA,37.33,NA,91.69
15,NA,NA,42.52,NA,87.37
20,NA,NA,47.66,NA,82.66
30,NA,NA,57.02,NA,74.94
40,NA,NA,66.03,NA,64.49
60,NA,NA,80.62,NA,43.11
80,NA,NA,92.24,NA,22.14
99,NA,NA,100,NA,2.65
