"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Offshore circalittoral mud",5.51,"   0.0","   0.0","<0.1","   1.3","   5.9","  15.4","  27.4","  40.5","  56.5"," 77.4"
"Circalittoral mixed sediment",1.95,"<0.1","<0.1","<0.1","   0.2","   3.7","  17.9","  27.5","  52.3","  90.3"," 93.8"
"Offshore circalittoral sand",1.68,"   0.0","   0.0","   0.2","   2.3","   8.5","  12.8","  25.3","  42.3","  62.2"," 76.1"
"Circalittoral sand",2.45,"<0.1","<0.1","<0.1","<0.1","<0.1","   0.2","   1.6","   2.8","  45.4"," 91.3"
"Offshore circalittoral rock and biogenic reef",1.37,"   0.0","<0.1","   0.4","   1.6","  10.5","  16.1","  38.3","  55.5","  78.3"," 90.6"
"Offshore circalittoral mixed sediment",0.49,"   0.0","<0.1","   4.7","  17.3","  18.4","  31.6","  48.3","  84.0","  97.2"," 99.7"
"Upper bathyal sediment",0.31,"   0.0","<0.1","   2.7","   4.3","   9.0","  16.0","  23.9","  38.4","  50.8"," 77.4"
"Circalittoral rock and biogenic reef",1.33,"<0.1","<0.1","<0.1","<0.1","<0.1","   0.1","   0.5","   0.7","  15.5"," 28.4"
"Circalittoral mud",0.49,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.1","  19.3","  23.5"," 60.5"
"Offshore circalittoral coarse sediment",0.05,"   0.1","  34.4","  34.6","  34.6","  34.6","  98.2","  98.6"," 100.0"," 100.0","100.0"
"Upper bathyal rock and biogenic reef",0.03,"<0.1","   4.1","  15.0","  35.1","  54.5","  54.5","  74.6","  74.6"," 100.0","100.0"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",0.01,"   1.0","  19.4","  19.5","  19.6","  19.6","  33.8","  34.0","  34.0"," 100.0","100.0"
"Infralittoral sand",0.53,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.7","  9.5"
"Unknown",0.11,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  0.0"
"Infralittoral rock and biogenic reef",0.1,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","  4.8"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0," 100.0"," 100.0"," 100.0"," 100.0"," 100.0"," 100.0"," 100.0"," 100.0"," 100.0","100.0"
"Infralittoral mud",0.02,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  0.0"
"Infralittoral mixed sediment",0.02,"   1.0","   1.0","   1.0","   1.0","   1.0","   1.0","   1.0","   1.0","   1.0","  1.0"
"Circalittoral coarse sediment",0,"   NaN","   NaN","   NaN","   NaN","   NaN","   NaN","   NaN","   NaN","   NaN","  NaN"
