"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)",0.03,44.93,5.25,0,0,0,0,0,0,0
"Landings (1000 tonnes)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Value (10^6 euro)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Landings (1000 tonnes)/Area swept (1000 km2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Value (10^6 euro)/Area swept (1000 km2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
