"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,13.4,NA,100
5,NA,NA,28.11,NA,93.53
10,NA,NA,34.73,NA,87.95
15,NA,NA,41.39,NA,81.65
20,NA,NA,46.61,NA,76.59
30,NA,NA,53.99,NA,66.8
40,NA,NA,62.48,NA,55.56
60,NA,NA,77.41,NA,37.55
80,NA,NA,91.48,NA,17.71
99,NA,NA,100,NA,3.29
