"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)","0.01","68.32","135.27","35.04","1.49","50.58","<0.005","0","2.44","0"
"Landings (1000 tonnes)","0.02","5.64","9.45","3.92","0.41","1.86","<0.005","0","0.52","0"
"Value (10^6 euro)","0.09","38.55","33.83","17.92","0.76","8.64","<0.005","0","4.1","0"
"Landings (1000 tonnes)/Area swept (1000 km2)","4.65","0.08","0.07","0.11","0.28","0.04","0.07","NaN","0.21","NaN"
"Value (10^6 euro)/Area swept (1000 km2)","17.25","0.56","0.25","0.51","0.51","0.17","0.18","NaN","1.68","NaN"
