"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,1.05,100,100
5,NA,NA,27.82,94.38,94.32
10,NA,NA,35.75,89.36,89.35
15,NA,NA,41.84,84.73,84.85
20,NA,NA,48.12,80.17,80.43
30,NA,NA,58.87,71.42,71.75
40,NA,NA,68.54,63.24,63.76
60,NA,NA,83.68,44.66,44.94
80,NA,NA,93.88,25.39,25.18
99,NA,NA,100,1.09,0.99
