"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,0.12,100,100
5,NA,NA,15.24,96.65,94.97
10,NA,NA,25.19,92.77,89.73
15,NA,NA,34.11,89.21,84.73
20,NA,NA,42.44,85.48,80.08
30,NA,NA,56.78,78.15,70.44
40,NA,NA,68.47,69.71,60.47
60,NA,NA,84.9,47.85,39.34
80,NA,NA,94.59,22.72,18.07
99,NA,NA,99.87,1.35,1.01
