"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,3.18,100,100
5,NA,NA,28.27,94.05,93.67
10,NA,NA,37.26,88.99,88.47
15,NA,NA,44.32,83.21,83.04
20,NA,NA,51.15,77.38,77.56
30,NA,NA,61.95,67.58,67.88
40,NA,NA,71.13,57.7,58.06
60,NA,NA,84.72,38.35,38.27
80,NA,NA,94,18.56,18.18
99,NA,NA,100,0.7,0.66
