"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,2.72,100,100
5,NA,NA,26.41,66.89,94.66
10,NA,NA,34.98,65.67,88.75
15,NA,NA,43.13,64.85,81.36
20,NA,NA,49.11,7.4,75.9
30,NA,NA,58.71,7.18,65.29
40,NA,NA,67.16,7.18,53.15
60,NA,NA,81.3,7.18,32.93
80,NA,NA,92.16,0,15.49
99,NA,NA,100,0,0.8
