"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,1.07,100,100
5,NA,NA,27.5,17.83,96.31
10,NA,NA,38.91,17.83,91.08
15,NA,NA,45.72,13.51,85.51
20,NA,NA,51.02,13.51,81.31
30,NA,NA,62.22,13.51,72.09
40,NA,NA,69.69,0,61.4
60,NA,NA,81.93,0,40.16
80,NA,NA,93.78,0,18.65
99,NA,NA,100,0,4.41
