"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Offshore circalittoral sand",7.36,"<0.1","<0.1","  8.5"," 33.6"," 35.2","  92.6"," 92.8"," 92.8"," 92.8","100.0"
"Offshore circalittoral mud",5.14,"   0.9","   8.2"," 46.8"," 94.9"," 95.1","  95.1"," 95.1"," 95.2"," 95.5","100.0"
"Upper bathyal sediment",1.52,"   0.0","  42.8"," 78.4"," 82.2"," 82.2","  86.5"," 86.5","100.0","100.0","100.0"
"Offshore circalittoral rock and biogenic reef",3.28,"   0.0","   0.0","  1.6","  2.8","  2.8","   2.8","  2.8","  2.8","100.0","100.0"
"Offshore circalittoral mixed sediment",0.71,"   NaN","   NaN","  NaN","  NaN","  NaN","   NaN","  NaN","  NaN","  NaN","  NaN"
"Offshore circalittoral coarse sediment",1.19,"   0.0","   1.4","  1.4"," 97.9"," 97.9","  99.3","100.0","100.0","100.0","100.0"
"Circalittoral sand",2.1,"   0.0","   0.0","  0.0","  0.0","  0.0","   0.0","  0.5","  1.5","  9.6"," 47.0"
"Circalittoral rock and biogenic reef",2.64,"   0.0","   0.0","  0.0","  0.0","  0.0","   0.0","  0.0"," 34.6"," 34.6"," 93.8"
"Upper bathyal rock and biogenic reef",0.1,"   NaN","   NaN","  NaN","  NaN","  NaN","   NaN","  NaN","  NaN","  NaN","  NaN"
"Circalittoral mud",0.97,"   0.0","   0.0","  0.0","  0.0","  0.0","   0.0","  2.5","  2.8","  3.8"," 95.2"
"Circalittoral coarse sediment",0.5,"   0.0","   0.0","  0.0","  0.0","  0.0","  99.4"," 99.4","100.0","100.0","100.0"
"Circalittoral mixed sediment",0.44,"   NaN","   NaN","  NaN","  NaN","  NaN","   NaN","  NaN","  NaN","  NaN","  NaN"
"Unknown",0.03,"   0.0","   0.0","  0.0","  0.0","  0.0","<0.1"," 24.3","100.0","100.0","100.0"
"Infralittoral rock and biogenic reef",0.79,"   0.0","   0.0","  0.0","  0.0","  0.0","   0.0","  0.0","  0.0","  0.0","100.0"
"Infralittoral sand",0.46,"   0.0","   0.0","  0.0","  0.0","  0.0","   0.0","  0.0","  0.0","  0.0","100.0"
"Infralittoral coarse sediment",0.05,"   NaN","   NaN","  NaN","  NaN","  NaN","   NaN","  NaN","  NaN","  NaN","  NaN"
"Lower bathyal sediment",0,"   NaN","   NaN","  NaN","  NaN","  NaN","   NaN","  NaN","  NaN","  NaN","  NaN"
"Infralittoral mixed sediment",0.13,"   NaN","   NaN","  NaN","  NaN","  NaN","   NaN","  NaN","  NaN","  NaN","  NaN"
"Infralittoral mud",0.16,"   NaN","   NaN","  NaN","  NaN","  NaN","   NaN","  NaN","  NaN","  NaN","  NaN"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",0," 100.0"," 100.0","100.0","100.0","100.0"," 100.0","100.0","100.0","100.0","100.0"
