"Indicators","values"
"Intensity (I-1)",1.38
"Proportion of cells fished (I-2)",0.78
"Proportion of area fished (I-3)",0.53
"Aggregation of fishing pressure (I-4)",0.4
"Persistently unfished areas (I-5)",0.22
"Average PD impact",NA
"Average L1 impact",NA
"Proportion of area with PD impact < 0.2",NA
"Proportion of area with L1 impact < 0.2",NA
