"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.11,0.72,3.43,100,100
5,0.1,0.62,33.2,91.41,93.48
10,0.1,0.53,44.07,87.2,90.08
15,0.09,0.47,51.97,82.93,86.92
20,0.08,0.41,58.22,78.78,83.88
30,0.07,0.3,69.27,70.72,78.11
40,0.06,0.22,78.08,63.01,71.7
60,0.04,0.1,90.27,44.54,54.12
80,0.02,0.03,96.76,23.03,31.94
99,0,0,99.91,1.43,1.68
