"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.22,0.95,0.06,100,100
5,0.21,0.83,16.25,91.52,85.73
10,0.2,0.71,28.97,85.04,78.69
15,0.19,0.61,39.13,79.16,68.85
20,0.18,0.53,47.41,73.15,61.72
30,0.15,0.39,60.85,61.15,48.78
40,0.13,0.29,71.13,50.94,39.53
60,0.09,0.15,85.17,32.48,23.35
80,0.04,0.06,94.16,15.44,9.66
99,0,0,99.88,0.78,0.34
