"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)","0.57","46.11","100.13","1.5","2.22","8.58","48.24","58.07","86.83","0.01"
"Landings (1000 tonnes)","11.94","6.3","225.28","0.56","34.83","0.69","4.1","27.34","42.6","0.52"
"Value (10^6 euro)","19.6","26.2","73.05","1.62","8.75","2.01","7.74","119.34","175.29","0.69"
"Landings (1000 tonnes)/Area swept (1000 km2)","21.06","0.14","2.25","0.38","15.7","0.08","0.09","0.47","0.49","104.47"
"Value (10^6 euro)/Area swept (1000 km2)","34.59","0.57","0.73","1.09","3.95","0.23","0.16","2.06","2.02","138.13"
