"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Landings (1000 tonnes)/PD impact",1.458,0.021,1.042,0.091,13.061,0.111,0.086,0.134,0.055,21.071
"Value (10^6 euro)/PD impact",2.395,0.087,0.338,0.263,3.282,0.326,0.163,0.585,0.226,27.859
"Landings (1000 tonnes)/L1 impact",0.273,0.005,0.054,0.01,0.163,0.002,0.003,0.023,0.009,1.645
"Value (10^6 euro)/L1 impact",0.449,0.019,0.017,0.028,0.041,0.006,0.006,0.1,0.039,2.174
