"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,0.05,0.45,22.82,100,100
5,0.05,0.4,51.33,94.7,95.94
10,0.05,0.35,58.8,90.04,92.68
15,0.04,0.32,64.58,85.89,89.63
20,0.04,0.28,69.35,68.86,79.3
30,0.03,0.22,77.15,60.67,73.56
40,0.03,0.16,83.28,52.11,67.79
60,0.02,0.08,91.7,35.84,54.91
80,0.01,0.02,97.61,20.5,35.82
99,0,0,100,1.42,5.19
