"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Offshore circalittoral mud",5.46,505,2.83,15.36,22.11,4.05,0.99,0.94,0.53
"Circalittoral mud",3.25,594,1.19,3.52,4.04,1.24,0.77,0.52,0.21
"Circalittoral sand",2.98,686,0.39,0.82,1.09,0.37,0.72,0.22,0.19
"Offshore circalittoral mixed sediment",0.43,223,0.1,0.65,0.97,2.25,1,0.73,0.39
"Offshore circalittoral sand",0.38,186,0.12,0.51,0.74,1.96,0.97,0.67,0.33
"Circalittoral mixed sediment",1.71,538,0.1,0.32,0.47,0.28,0.6,0.15,0.2
"Infralittoral sand",4.74,634,0.29,0.14,0.2,0.04,0.23,0.03,0.08
"Offshore circalittoral coarse sediment",0.06,109,0.02,0.13,0.19,3.13,1,0.82,0.34
"Circalittoral coarse sediment",0.63,389,0.06,0.14,0.18,0.3,0.59,0.15,0.17
"Infralittoral coarse sediment",0.44,337,0.02,0.03,0.03,0.07,0.25,0.04,0.06
"Infralittoral mixed sediment",1.08,452,0.04,0.03,0.03,0.03,0.35,0.02,0.13
"Infralittoral mud",0.5,217,0.75,0.17,0.02,0.04,0.32,0.04,0.07
"Offshore circalittoral rock and biogenic reef",0.01,39,0,0.01,0.02,1.8,1,0.68,0.18
"Circalittoral rock and biogenic reef",0.03,54,0,0,0.01,0.17,0.79,0.15,0.24
"Infralittoral rock and biogenic reef",0.04,66,0,0,0,0.06,0.66,0.06,0.26
"Unknown",0,8,0,0,0,1.49,0.98,0.39,NA
