"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.6,0.95,0.87,100,100
5,0.57,0.83,17.36,94.57,92.67
10,0.53,0.75,24.71,88.76,85.51
15,0.5,0.69,31.8,82.98,76.26
20,0.47,0.62,37.84,77.64,71.13
30,0.4,0.51,49,66.79,61.08
40,0.33,0.41,58.87,56.46,51.68
60,0.21,0.24,75.91,35.98,32.94
80,0.09,0.1,89.82,17.06,15.33
99,0.01,0.01,99.7,1.16,1.05
