"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Offshore circalittoral mud",5.46,"<0.1","   1.3","7.0","  13.8","  21.9","31.3","41.6","53.4","65.8"," 80.9"
"Circalittoral mud",3.25,"   0.0","   0.0","0.0","<0.1","   0.7"," 5.8","15.4","29.3","46.5"," 70.9"
"Circalittoral sand",2.98,"   0.0","   0.0","0.0","<0.1","   0.3"," 0.7"," 2.7"," 9.6","19.7"," 48.3"
"Offshore circalittoral mixed sediment",0.43,"   0.2","   0.4","4.1","   9.5","  14.1","23.5","37.6","48.6","67.9"," 84.9"
"Offshore circalittoral sand",0.38,"<0.1","   0.2","0.6","   3.6","  10.6","17.6","26.0","39.6","57.1"," 76.8"
"Circalittoral mixed sediment",1.71,"   0.0","   0.0","0.0","   0.0","<0.1"," 0.3"," 1.0"," 4.4","15.0"," 37.8"
"Infralittoral sand",4.74,"   0.0","   0.0","0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.7","  3.9"
"Offshore circalittoral coarse sediment",0.06,"   0.4","   1.0","4.2","   9.4","  17.9","29.3","37.5","53.1","67.8"," 91.2"
"Circalittoral coarse sediment",0.63,"   0.0","   0.0","0.0","   0.0","   0.0"," 0.2"," 1.4"," 6.0","13.5"," 40.9"
"Infralittoral coarse sediment",0.44,"   0.0","   0.0","0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.0"," 0.7","  5.4"
"Infralittoral mixed sediment",1.08,"   0.0","   0.0","0.0","   0.0","   0.0"," 0.0"," 0.0"," 1.0"," 5.8"," 25.5"
"Infralittoral mud",0.5,"   0.0","   0.0","0.0","   0.0","   0.0"," 0.0"," 0.0"," 0.5"," 5.9"," 35.1"
"Offshore circalittoral rock and biogenic reef",0.01,"<0.1","   0.2","1.3","   5.4","   9.7","24.5","45.4","45.4","69.4","100.0"
"Circalittoral rock and biogenic reef",0.03,"   0.0","   0.0","0.0","   0.7","   0.9"," 2.0"," 4.9","12.6","30.1"," 41.7"
"Infralittoral rock and biogenic reef",0.04,"   0.0","   0.0","0.0","   0.0","   0.6"," 3.4"," 8.9","11.4","19.2"," 42.0"
"Unknown",0,"<0.1","<0.1","0.9","   2.3","   2.3"," 2.3"," 8.4"," 8.4","40.7","100.0"
