"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)","0.02","24.66","4.7","0","0.14","0.58","0.18","<0.005","0.01","0"
"Landings (1000 tonnes)","1.54","2.72","1.03","0","0.72","0.11","<0.005","<0.005","<0.005","0"
"Value (10^6 euro)","0.32","18.92","2.28","0","0.2","0.21","<0.005","0.01","0.01","0"
"Landings (1000 tonnes)/Area swept (1000 km2)","67.71","0.11","0.22","NaN","5.3","0.2","0.01","0.71","0.38","NaN"
"Value (10^6 euro)/Area swept (1000 km2)","13.85","0.77","0.48","NaN","1.44","0.36","0.01","2.72","0.95","NaN"
