"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Landings (1000 tonnes)/PD impact",NA,0.01,0.088,NA,2.371,0.186,0.001,0.117,0.04,NA
"Value (10^6 euro)/PD impact",NA,0.074,0.129,NA,0.582,0.295,0.004,0.6,0.102,NA
"Landings (1000 tonnes)/L1 impact",NA,0.005,0.004,NA,0.029,0.016,0,0.023,0.003,NA
"Value (10^6 euro)/L1 impact",NA,0.034,0.006,NA,0.007,0.026,0,0.116,0.008,NA
