"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.19,0.57,22.73,100,100
5,0.18,0.49,49.27,93.53,66.9
10,0.17,0.44,55.29,89.15,63.9
15,0.16,0.4,59.72,84.45,55.68
20,0.15,0.35,64.75,79.01,51.92
30,0.13,0.29,70.79,69.74,43.99
40,0.11,0.23,77.24,59.6,36.86
60,0.07,0.14,86.31,39.44,22.19
80,0.03,0.06,94.27,17.68,10.06
99,0,0,100,1.26,2.39
