"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)",0.17,0,8.37,0.13,0.01,1.29,5.14,0,0,0
"Landings (1000 tonnes)",0.3,0,3.11,0.04,2.25,0.38,0.93,0,0,0
"Value (10^6 euro)",0.56,0,6.48,0.18,1.98,0.71,1.73,0,0,0
"Landings (1000 tonnes)/Area swept (1000 km2)",1.74,0.24,0.37,0.34,329.58,0.3,0.18,NA,NA,NA
"Value (10^6 euro)/Area swept (1000 km2)",3.29,1.03,0.77,1.36,289.79,0.55,0.34,NA,NA,NA
