"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,NA,NA,5.86,100,100
5,NA,NA,43.03,93.19,93.23
10,NA,NA,56.82,81.99,77.06
15,NA,NA,65.7,75.89,70.19
20,NA,NA,72.51,71.39,65.37
30,NA,NA,81.32,58.77,52.68
40,NA,NA,87.89,47.04,42.6
60,NA,NA,94.78,30.57,27.88
80,NA,NA,98.22,14.91,13.9
99,NA,NA,100,3.77,3.28
