"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6 euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Offshore circalittoral coarse sediment",8.22,792,4.16,6.75,8.11,0.99,0.88,0.44,0.29
"Offshore circalittoral sand",3.75,429,2.21,3.81,6.01,1.6,0.94,0.55,0.3
"Circalittoral rock and biogenic reef",1.07,389,0.16,0.23,0.22,0.21,0.65,0.16,0.17
"Unknown",0.94,385,0.12,0.26,0.22,0.24,0.63,0.13,0.12
"Circalittoral coarse sediment",0.87,334,0.1,0.21,0.18,0.21,0.75,0.15,0.19
"Infralittoral rock and biogenic reef",0.59,352,0.03,0.04,0.04,0.07,0.34,0.05,0.14
"Offshore circalittoral rock and biogenic reef",0.19,270,0.14,0.17,0.12,0.65,0.86,0.35,0.18
"Circalittoral sand",0.13,88,0.01,0.03,0.04,0.26,0.85,0.22,0.16
"Infralittoral coarse sediment",0.08,92,0,0,0.01,0.08,0.47,0.06,0.11
"Circalittoral mixed sediment",0.06,34,0,0.01,0.01,0.12,0.39,0.09,0.15
"Infralittoral mixed sediment",0.05,37,0,0,0.01,0.11,0.4,0.1,0.05
"Offshore circalittoral mixed sediment",0.04,20,0.02,0.02,0.01,0.34,0.68,0.21,0.45
"Circalittoral mud",0.04,18,0,0,0,0,0.11,0,0.11
"Infralittoral mud",0.02,21,0,0,0,0,0.13,0,0.14
"Infralittoral sand",0.02,26,0,0,0,0.08,0.54,0.08,0.15
"Offshore circalittoral mud",0,4,0,0,0.01,12.47,1,0.9,NA
