"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,NA,NA,12.09,100,100
5,NA,NA,54.12,90.53,79.98
10,NA,NA,63.34,84.28,72.63
15,NA,NA,69.38,79.28,68.22
20,NA,NA,74.26,73.7,63.06
30,NA,NA,81.87,64.31,55.78
40,NA,NA,86.62,55.01,48.48
60,NA,NA,93.49,29.19,24.91
80,NA,NA,97.85,12.7,10.66
99,NA,NA,100,1.99,2
