"Indicators","values"
"Intensity (I-1)",0.8
"Proportion of cells fished (I-2)",0.74
"Proportion of area fished (I-3)",0.34
"Aggregation of fishing pressure (I-4)",0.27
"Persistently unfished areas (I-5)",0.26
"Average PD impact",NA
"Average L1 impact",NA
"Proportion of area with PD impact < 0.2",NA
"Proportion of area with L1 impact < 0.2",NA
