"Effort reduction (%)","PD impact","L1 impact","Unfished area (%)","Decline in value (%)","Decline in weight (%)"
0,NA,NA,87.21,NA,100
5,NA,NA,94.28,NA,86.45
10,NA,NA,96.75,NA,60.16
15,NA,NA,97.68,NA,38.16
20,NA,NA,98.26,NA,15.52
30,NA,NA,98.68,NA,0.49
40,NA,NA,99.13,NA,0.44
60,NA,NA,99.52,NA,0.34
80,NA,NA,100,NA,0.21
99,NA,NA,100,NA,0.21
