"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,55.41,NA,100
5,NA,NA,79.1,NA,94.86
10,NA,NA,83.49,NA,88.23
15,NA,NA,86.19,NA,81.42
20,NA,NA,87.83,NA,74.75
30,NA,NA,91.02,NA,60.5
40,NA,NA,93.03,NA,49.87
60,NA,NA,96.16,NA,33.63
80,NA,NA,98.38,NA,17.58
99,NA,NA,100,NA,1.93
