"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)","<0.005","38.81","2.52","0.04","0","0","0","0","0","0"
"Landings (1000 tonnes)","<0.005","3.67","0.06","<0.005","0","0","0","0","0","0"
"Value (10^6 euro)","0","0","0","0","0","0","0","0","0","0"
"Landings (1000 tonnes)/Area swept (1000 km2)","9.96","0.09","0.02","0.14","NaN","NaN","NaN","NaN","NaN","NaN"
"Value (10^6 euro)/Area swept (1000 km2)","0","0","0","0","NaN","NaN","NaN","NaN","NaN","NaN"
