"MSFD broad habitat type","Extent of habitat (1000 km2)","Number of grid cells","Landings 1000 tonnes","Value 10^6^ euro","Swept area 1000 km2","Average fishing intensity (I-1)","Prop. of area in fished grid cells (I-2)","Prop. of area fished per year (I-3)","Smallest  prop. of area with 90% of fishing effort (I-4)"
"Upper bathyal sediment",11.61,680,2.17,0,23.77,2.05,0.67,0.51,0.29
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",15.96,956,0.59,0,8.68,0.54,0.45,0.21,0.14
"Offshore circalittoral mud",1.35,172,0.78,0,7.26,5.39,0.91,0.76,0.27
"Offshore circalittoral mixed sediment",0.06,36,0.04,0,0.5,8.09,0.99,0.83,0.25
"Offshore circalittoral sand",0.27,58,0.06,0,0.37,1.37,0.73,0.56,0.29
"Upper bathyal rock and biogenic reef",0.39,135,0.05,0,0.3,0.79,0.68,0.43,0.24
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",14.96,1058,0.02,0,0.27,0.02,0.1,0.01,0.03
"Offshore circalittoral rock and biogenic reef",0.13,72,0.03,0,0.13,0.96,0.79,0.49,0.31
"Offshore circalittoral coarse sediment",0.01,6,0,0,0.02,1.36,0.57,0.57,0.33
"Abyssal",184.57,7858,0,0,0.01,0,0,0,0
"Unknown",0.15,25,0,0,0.01,0.06,0.03,0.03,0.08
"Lower bathyal sediment",0.05,17,0,0,0.01,0.15,0.55,0.15,NA
"Circalittoral rock and biogenic reef",0.01,11,0,0,0,0.11,0.19,0.08,NA
"Circalittoral mud",0,6,0,0,0,0.3,0.49,0.22,NA
"Circalittoral sand",0,2,0,0,0,0.1,0.13,0.1,NA
"Circalittoral mixed sediment",0,3,0,0,0,0,0,0,NA
"Infralittoral rock and biogenic reef",0,1,0,0,0,0,0,0,NA
