"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,33.06,NA,100
5,NA,NA,57.32,NA,92.72
10,NA,NA,66.08,NA,84.88
15,NA,NA,72.03,NA,77.73
20,NA,NA,76.06,NA,71.77
30,NA,NA,83.02,NA,59.91
40,NA,NA,88.33,NA,49.57
60,NA,NA,95.35,NA,28.52
80,NA,NA,98.45,NA,14.57
99,NA,NA,100,NA,1.73
