"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,1.36,NA,100
5,NA,NA,45.36,NA,88.76
10,NA,NA,62.76,NA,83.95
15,NA,NA,65.17,NA,80.46
20,NA,NA,73.84,NA,73.74
30,NA,NA,82.8,NA,70.68
40,NA,NA,85.46,NA,55.14
60,NA,NA,92.47,NA,47.07
80,NA,NA,100,NA,26.13
99,NA,NA,100,NA,26.13
