"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area fished (1000 km2)",1.85,65.54,341.04,1.58,4.14,114.2,94.98,0.01,3.7,0
"Landings (1000 tonnes)",2.63,9.44,270.05,0.29,15.25,5.89,12.49,0,4.06,0
"Value (10^6 euro)",6.18,37.09,153.04,1.23,1.44,10.21,24.58,0.01,7.81,0
"Landings (1000 tonnes)/impact ratio",0.09,0.02,0.34,0.03,3.7,0.06,0.09,0.07,0.06,NA
"Value (10^6 euro)/impact ratio",0.22,0.08,0.19,0.12,0.37,0.11,0.17,0.15,0.12,NA
"Landings (1000 tonnes)/Area fished (1000 km2) ratio",1.43,0.14,0.79,0.19,3.43,0.05,0.13,0.44,1.1,NA
"Value (10^6 euro)/Area fished (1000 km2) ratio",3.35,0.57,0.45,0.78,0.35,0.09,0.26,0.9,2.11,NA
