"Indicators","values"
"1. Intensity",2.19620608173297
"2. Proportion of cells fished",0.885837900201904
"3. Proportion of area fished",0.566311260529346
"4. Aggregation of fishing pressure",0.362445918661667
"5. Persistently unfished areas",0.114162099798096
"6. Average impact",0.0880788676179934
"7. Proportion of area with impact < 0.2",0.873839053937121
