"Indicators","0 to 200 m","200 to 800 m","more than 800 m"
"Average intensity (I-1)",0.48,4.44,NA
"Proportion of area in fished cells (I-2)",0.64,1,NA
"Proportion of area fished per year (I-3)",0.22,0.9,NA
"Smallest  prop. of area in fished cells with 90% of fishing effort (I-4)",0.19,0.68,NA
"Proportion of area in unfished cells (I-5)",0.36,0,NA
"Average PD impact (I-6)",NA,NA,NA
"Average L1 impact (I-6)",NA,NA,NA
"Proportion of area with PD impact < 0.2 (I-7)",NA,NA,NA
"Proportion of area with L1 impact < 0.2 (I-7)",NA,NA,NA
