"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,0,100,100
5,NA,NA,23.91,94.63,94.25
10,NA,NA,32.74,89.7,89.32
15,NA,NA,38.9,84.37,83.92
20,NA,NA,44,78.94,77.81
30,NA,NA,53.63,68.79,68
40,NA,NA,62.63,58.62,58.16
60,NA,NA,77.81,40.17,41.24
80,NA,NA,90.61,22,23.73
99,NA,NA,100,1.41,2.29
