"MSFD broad habitat type","Extent of habitat 1000 km2","X0.05","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9"
"Offshore circalittoral mud",12.42,"<0.1","<0.1","0.7","   2.9"," 7.3","  13.9","24.2","37.4","53.5"," 72.6"
"Offshore circalittoral sand",22.77,"   0.0","   0.0","0.0","   0.1"," 0.7","   2.0"," 4.7"," 9.5","20.0"," 40.3"
"Upper bathyal sediment",3.4,"   0.2","   0.8","3.2","   8.5","16.8","  26.9","37.1","50.2","63.8"," 79.3"
"Unknown",33.81,"   0.0","   0.0","0.0","   0.0"," 0.0","<0.1"," 0.6"," 1.7"," 4.8"," 21.7"
"Offshore circalittoral coarse sediment",34.96,"   0.0","   0.0","0.0","   0.0"," 0.2","   0.9"," 2.2"," 5.3","11.4"," 24.9"
"Circalittoral mud",1.26,"   0.0","   0.0","0.2","   0.9"," 2.8","   6.4","11.6","21.0","39.7"," 59.9"
"Offshore circalittoral mixed sediment",4.09,"   0.0","   0.0","0.0","<0.1"," 0.6","   1.6"," 3.1"," 5.9","10.4"," 29.1"
"Circalittoral coarse sediment",6.59,"   0.0","   0.0","0.0","   0.0"," 0.0","<0.1"," 1.7"," 4.8","10.7"," 28.1"
"Circalittoral sand",2.77,"   0.0","   0.0","0.0","   0.0"," 0.0","   0.6"," 2.5"," 7.3","17.7"," 34.4"
"Offshore circalittoral rock and biogenic reef",2.95,"   0.0","   0.0","0.0","   0.0"," 0.0","   0.3"," 3.6"," 8.1","17.0"," 34.6"
"Circalittoral rock and biogenic reef",4.08,"   0.0","   0.0","0.0","   0.0"," 0.0","   0.0"," 0.0"," 2.4"," 9.4"," 28.7"
"Circalittoral mixed sediment",0.21,"   0.0","   0.0","0.0","   0.2"," 1.5","   8.7","18.0","29.1","52.8"," 68.6"
"Infralittoral rock and biogenic reef",0.7,"   0.0","   0.0","0.0","   0.0"," 0.0","   0.0"," 1.1"," 5.2","16.0"," 46.5"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",0.04,"<0.1","   0.5","1.1","   3.8"," 7.3","  36.9","64.2","64.2","64.2","100.0"
"Infralittoral coarse sediment",0.24,"   0.0","   0.0","0.0","   0.0"," 0.0","   0.0"," 0.6"," 4.5","11.0"," 40.2"
"Infralittoral mud",0.08,"   0.0","   0.0","0.0","   0.0"," 0.0","   0.0"," 0.0"," 1.9","13.5"," 48.3"
"Infralittoral sand",0.11,"   0.0","   0.0","0.0","   0.0"," 0.0","   0.0"," 1.6"," 9.9","16.5"," 46.4"
"Infralittoral mixed sediment",0.08,"   0.0","   0.0","0.0","   0.0"," 0.0","   0.0"," 0.0"," 0.0"," 1.5"," 20.0"
