"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,3.86,100,100
5,NA,NA,35.27,94.1,93.11
10,NA,NA,44.78,89.28,87.86
15,NA,NA,51.19,84.71,83.05
20,NA,NA,56.44,79.97,78.17
30,NA,NA,64.91,70.52,68.41
40,NA,NA,72.02,61.01,58.78
60,NA,NA,83.76,41.72,40.46
80,NA,NA,93.39,20.38,20.79
99,NA,NA,99.87,1.05,1.1
