"","DRB_MOL","OT_CRU","OT_DMF","OT_MIX","OT_SPF","SDN_DMF","SSC_DMF","TBB_CRU","TBB_DMF","TBB_MOL"
"Area swept (1000 km2)","1.45","28.18","46.87","1.14","0.01","0.1","4.2","<0.005","<0.005","0"
"Landings (1000 tonnes)","2.23","4.72","11.03","0.46","1.4","0.01","0.38","<0.005","<0.005","0"
"Value (10^6 euro)","6.09","17.48","27.77","1.12","1.45","0.01","0.63","<0.005","<0.005","0"
"Landings (1000 tonnes)/Area swept (1000 km2)","1.54","0.17","0.24","0.41","212.1","0.11","0.09","0.46","0.02","NaN"
"Value (10^6 euro)/Area swept (1000 km2)","4.21","0.62","0.59","0.98","220.3","0.14","0.15","2.2","0.08","NaN"
