"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,14.03,100,NA
5,NA,NA,52.05,91.81,NA
10,NA,NA,61.38,85.07,NA
15,NA,NA,67.82,79.84,NA
20,NA,NA,73.37,73.65,NA
30,NA,NA,81.36,62.79,NA
40,NA,NA,86.79,53.03,NA
60,NA,NA,94.29,28.66,NA
80,NA,NA,98.22,11.55,NA
99,NA,NA,100,0.33,NA
