"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,0.76,100,100
5,NA,NA,21.55,95.53,93.79
10,NA,NA,35.72,91.34,87.42
15,NA,NA,47.77,87.06,81.01
20,NA,NA,59.31,82.96,74.21
30,NA,NA,73.26,72.15,61.97
40,NA,NA,79.04,63.55,53.89
60,NA,NA,89.18,44.37,37.42
80,NA,NA,94.48,27.62,23.33
99,NA,NA,100,8.44,7.17
