"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,NA,NA,0.38,100,100
5,NA,NA,28.01,92.76,92.13
10,NA,NA,38.93,87.39,86.7
15,NA,NA,47.64,82.54,81.52
20,NA,NA,54.85,77.39,76.03
30,NA,NA,66.51,67.23,65.2
40,NA,NA,76.21,57.88,55.99
60,NA,NA,89.89,37.38,34.4
80,NA,NA,96.51,18.84,16.21
99,NA,NA,99.93,0.9,0.79
