"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.01,0.17,57.56,100,100
5,0.01,0.14,78.08,94.76,92.94
10,0.01,0.12,81.58,89.85,86.99
15,0.01,0.11,84.04,85.13,81.87
20,0.01,0.09,86.39,79.97,76.31
30,0.01,0.07,89.81,69.62,65.7
40,0.01,0.05,92.72,60.22,55.83
60,0,0.03,96.52,40.54,38.75
80,0,0.01,99,21.7,21.67
99,0,0,100,2.25,2.32
