"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.01,0.16,56.89,100,100
5,0.01,0.14,79.48,94.21,89.14
10,0.01,0.12,84.45,88.63,84.36
15,0.01,0.11,86.94,82.85,77.47
20,0.01,0.1,88.77,78.26,71.51
30,0,0.07,91.61,66.76,60.57
40,0,0.06,93.76,57.39,51.7
60,0,0.03,97.06,38.7,32.09
80,0,0.01,99.19,21.1,14.65
99,0,0,100,2.85,1.88
