"Effort reduction as a percentage","Average PD impact","Average L1 impact","Percentage area unfished","Percentage of total value","Percentage of total weight"
0,0.01,0.21,44.41,100,100
5,0.01,0.18,71.65,82.95,66.52
10,0.01,0.16,78.92,68.17,36.97
15,0.01,0.14,82.68,58.45,22.13
20,0.01,0.12,85.52,54.32,20.79
30,0.01,0.09,89.94,46.28,17.54
40,0,0.07,92.91,38.61,14.53
60,0,0.03,96.6,23.4,8.83
80,0,0.01,98.84,8.39,2.89
99,0,0,100,0.73,0.32
